хвороба,симптом1,симптом2,симптом3,симптом4,симптом5
Гіпертонія,Порушення пам'яті,Сухість у роті,Компульсивні дії,,
Цистит,Біль у горлі (сильний),Пригнічений настрій,Імпульсивність,,
Шизофренія,Слабкість у кінцівках (прогресуюча),Набряк суглобів,Біль у животі (пекучий),,
Інсульт,Втрата свідомості,Біль при ковтанні,Втрата ваги,Зміни нігтів,Біль в очах
Рак шлунку,Шум у вухах,,,,
Гастроентерит,Біль у суглобах (сильний),Кровотеча з ясен,,,
Анорексія,Набряк суглобів,Порушення сну (безсоння),Ущільнення в молочній залозі,Стереотипні рухи,Біль у правому боці
Холецистит,Свербіж в очах,Почервоніння шкіри над суглобом,,,
Артрит,Висипання на шкірі (бляшки),Часте болісне сечовипускання,Кров у калі,,
Анемія,Мутна сеча,,,,
Епілепсія,Проблеми з рівновагою,Свербіж в очах,Зміни апетиту/ваги,Біль у суглобах (сильний),Головний біль (ранковий)
Астма,Стереотипні рухи,Закладеність носа,Біль у суглобах (мігруючий),,
Системний червоний вовчак,Перепади настрою,Кашель з кров'ю,Порушення сну (безсоння),,
Мігрень,Помутніння зору,"Проблеми з сечовипусканням (часті, утруднені)",Свистяче дихання,,
Отит,Обмеження рухів (локалізоване),Кашель з кров'ю,Випадіння волосся,Проблеми з мовленням,Виділення з вуха
Цистит,Проблеми з мовленням,,,,
Енцефаліт,Порушення сну (безсоння),,,,
Енцефаліт,Проблеми з мовленням,,,,
Ревматоїдний артрит,Втрата свідомості,,,,
Безсоння,Збільшення живота,,,,
Розсіяний склероз,Нудота,Підвищена температура тіла (локальна),Звуження поля зору,,
Епілепсія,Втрата смаку/нюху,Серцебиття (прискорене),,,
Гепатит,Сльозотеча,,,,
Енцефаліт,Страх набрати вагу,Свербіж шкіри,"Біль у грудях (стискаючий, пекучий)",,
Булімія,Кашель (сухий),Збільшення щитоподібної залози,Чутливість до світла/звуку,Біль в очах (ріжучий),Обмеження рухів (локалізоване)
Біполярний розлад,Повільне загоєння ран,Біль у грудях,Біль у горлі,,
Синдром дефіциту уваги та гіперактивності,Біль у животі (голодний біль),Випадіння волосся,Перепади настрою,Збільшення щитоподібної залози,
Нарколепсія,Сутулість,Порушення сну (безсоння),Почервоніння (локалізоване),Ущільнення шкіри,Втрата свідомості
Гіпертонія,Маніакальні епізоди,Сильний головний біль (пульсуючий),Поколювання в кінцівках,Почервоніння (локалізоване),
Гіпертонія,Втрата апетиту (нервова),Нудота,,,
Хвороба Альцгеймера,Порушення сну (безсоння),Біль у животі (пекучий),,,
Астма,Закладеність носа,Здуття,Судоми,Гіперактивність,
Рак легенів,Порушення сну,Хрипи в легенях,Свистяче дихання,,
Остеопороз,Біль у правому підребер'ї,Спрага,Дратівливість,Біль у горлі,
Сечокам'яна хвороба,Тремор рук,Дезорієнтація,,,
Застуда,Нудота,,,,
Глаукома,Підвищена температура тіла (локальна),Біль у горлі (першіння),Порушення чутливості,Повільне загоєння ран,Біль при ковтанні
Глаукома,Повільне загоєння ран,Свербіж шкіри,,,
Інфаркт міокарда,Червоні плями на шкірі,,,,
Рак легенів,Діарея,Порушення сну (безсоння),Почуття провини/нікчемності,Поступова втрата периферичного зору,Ущільнення шкіри
Базаліома,Почервоніння шкіри над суглобом,,,,
Грип,Біль у вусі,Мутна сеча,,,
Фарингит,Проблеми з концентрацією,Біль у вусі,Порушення чутливості,Тремтіння (тремор),
Невралгія трійчастого нерва,Порушення сну,Жовтяниця,Біль у правому підребер'ї,,
Застуда,Проблеми з ковтанням,Закладеність носа,,,
Мігрень,Хрипи в легенях,Повільне загоєння ран,,,
Гастроентерит,Носова кровотеча,Біль у суглобах (сильний),Надмірна сонливість вдень,Нічна пітливість,"Біль у грудях (стискаючий, пекучий)"
COVID-19,Біль у животі (переймоподібний),Проблеми з ковтанням,Біль у животі (голодний біль),Сплутаність свідомості,Раптова слабкість в обличчі/руці/нозі
Остеопороз,Обмеження рухливості,Збільшення щитоподібної залози,"Проблеми з сечовипусканням (часті, утруднені)",Сухість у роті,
Інфаркт міокарда,Сковання суглобів,Почуття провини/нікчемності,Тремтіння (тремор),,
Ангіна,Раптові напади сну,Втрата ваги (без причини),Сплутаність свідомості,Біль у горлі (першіння),
Отит,Зменшення зросту з часом,Занепокоєння,Погіршення зору,,
Хвороба Альцгеймера,Спрага,Поколювання в кінцівках,Обмеження рухливості,Порушення сну (безсоння),
Лімфома,Відчуття важкості в животі,,,,
Рак шлунку,Проблеми з мовленням,Обмеження рухливості,Ригідність м'язів,,
Гіпотонія,Тремор рук,Біль у спині,Стомлюваність (сильна),Свистяче дихання,Збільшення печінки/селезінки
Лімфома,Затримка мовленнєвого розвитку,,,,
Пієлонефрит,Раптова слабкість в обличчі/руці/нозі,Почервоніння шкіри над суглобом,Пітливість,Двоїння в очах,
Цистит,Втрата інтересу до діяльності,Блювота (ранкова),,,
Діабет,Втрата ваги,Почуття тривоги/паніки,Компульсивні дії,,
Виразковий коліт,Висипання на шкірі (різні),Нервозність,,,
Шизофренія,Нудота,,,,
Кон'юнктивіт,Нервозність (підвищена),Втрата ваги (без причини),Біль у вусі,Ригідність м'язів,
Рак простати,Чхання,,,,
Плоскоклітинний рак,Сухість в очах,Імпульсивність,,,
Розсіяний склероз,Тремтіння (тремор),Судоми,,,
Виразковий коліт,"Проблеми з сечовипусканням (часті, утруднені)",Поколювання в кінцівках,Біль у суглобах,Раптова слабкість в обличчі/руці/нозі,
Отит,Біль у лівій руці,Лихоманка,Збільшення щитоподібної залози,Біль у спині,
Ішіас,Зміни апетиту/ваги,Біль у животі (переймоподібний),Втрата ваги,Проблеми з мовленням,Біль у суглобах
Жовчнокам'яна хвороба,Переїдання з наступним очищенням,Втрата апетиту,Затримка мовленнєвого розвитку,Маніакальні епізоди,Збільшення живота
Рак простати,Зміни особистості,Біль у горлі,Випадіння волосся,,
Грип,Висипання,,,,
Безсоння,Набряклість,,,,
Глаукома,Ущільнення шкіри,Чхання,,,
Фіброміалгія,Вузлики на суглобах,,,,
Подагра,Холодні кінцівки,Захриплість голосу,Кашель (з мокротою),,
Мігрень,Втрата ваги,Свербіж в очах,Біль в очах,Сплутаність свідомості,
Гіпертонія,Тремор рук,,,,
Лімфома,Шум у вухах,,,,
Виразковий коліт,Втома,,,,
Остеопороз,Висипання на шкірі (бляшки),Проблеми з рівновагою,Сплутаність свідомості,,
Артрит,Нічна пітливість,Біль у лівій руці,Проблеми з координацією,,
Ішіас,Синдром Рейно,Флешбеки,,,
Алергія,Ригідність м'язів,Підвищена температура тіла (локальна),Кашель (сухий),,
Рак шлунку,Біль у кістках,,,,
Булімія,Біль у правому підребер'ї,Біль у суглобах (мігруючий),Часте болісне сечовипускання,М'язова слабкість,
Анорексія,Чутливість до світла/звуку,Ригідність м'язів,,,
Хвороба Альцгеймера,Стереотипні рухи,,,,
Застуда,Сухість у роті,Головний біль (ранковий),Чутливість до світла/звуку,Біль у попереку,
Інфаркт міокарда,Деформація суглобів,,,,
Мігрень,Флешбеки,Порушення координації рухів,Проблеми з мовленням,Висипання на шкірі (різні),
Хвороба Паркінсона,Біль у животі (голодний біль),Кров у калі,,,
Гастроентерит,Втрата апетиту (нервова),,,,
Остеопороз,Пітливість,Двоїння в очах,Біль у спині,Діарея,
Рак кишківника,Кровотеча з ясен,Часте сечовипускання,Кашель (з мокротою),,
Менінгіт,Тремтіння (тремор),Ломота в тілі,,,
Рак шлунку,Нав'язливі думки,Слабкість у кінцівках (прогресуюча),Розмитість зображення,Стереотипні рухи,Сльозотеча (гнійні виділення)
Екзема,Хрипи в легенях,,,,
Рак простати,Біль у грудях,Обмеження рухів (локалізоване),Біль у вусі,,
Лейкемія,Нежить,,,,
Ішіас,Діарея,Помутніння зору,,,
Холецистит,Кровотеча,Здуття кишківника,Оніміння кінцівок,,
Фарингит,Сильний головний біль (пульсуючий),Надмірна сонливість вдень,,,
Застуда,Погіршення зору (прогресуюче),Слабкість у кінцівках (прогресуюча),Відрижка,Свербіж шкіри,
Аутизм,Втрата смаку/нюху,Нудота,Раптові напади сну,,
Меланома,Сухість в очах,Деформація суглобів,Хрипи в легенях,,
Алергія,Кашель,,,,
Застуда,Головний біль,Погіршення нічного зору,Кашель,Чутливість до світла/звуку,
Синусит,Обмеження рухливості,Здуття кишківника,Діарея,,
Гіпертонія,Нежить,,,,
Ішіас,Часте болісне сечовипускання,Біль у спині,Біль у суглобах (мігруючий),Сильний головний біль (пульсуючий),
Виразковий коліт,"Проблеми з сечовипусканням (часті, утруднені)",Прискорене серцебиття,Біль у правому боці,,
Нарколепсія,Деформація суглобів,,,,
Лімфома,Судоми,,,,
Карпальний тунельний синдром,Сльозотеча,Збільшення живота,Збільшення щитоподібної залози,,
Хвороба Крона,Висипання на шкірі (бляшки),,,,
Шизофренія,Дратівливість,Біль в очах,,,
Гастроентерит,Синдром Рейно,Почервоніння обличчя,Ущільнення шкіри,,
Хронічна втома,Порушення зору,Імпульсивність,Погіршення нічного зору,,
Подагра,Втома,Біль у животі (пекучий),Почуття тривоги/паніки,Затримка мовленнєвого розвитку,Захриплість голосу
Анемія,Біль у животі (розлитий),Біль у м'язах (сильний),Здуття,,
Кропив'янка,Раптова слабкість в обличчі/руці/нозі,Погіршення нічного зору,,,
Фарингит,Порушення пам'яті,Кашель,Мутна сеча,Часте болісне сечовипускання,
Невралгія трійчастого нерва,Двоїння в очах,Біль у спині,Погіршення зору (прогресуюче),Чутливість до світла/звуку,
Енцефаліт,Сухість у роті,Біль при ковтанні,,,
Хвороба Крона,Нудота,Запаморочення,Ломота в тілі,Відрижка,Двоїння в очах
Сечокам'яна хвороба,Відчуття важкості в животі,Повільне загоєння ран,,,
Рак молочної залози,Біль у горлі (сильний),Біль у грудях (що посилюється при диханні),Біль у животі (переймоподібний),Тремор рук,
Фарингит,Нудота,Уникнення травматичних спогадів,Підвищений апетит,,
Кон'юнктивіт,Погіршення зору (прогресуюче),Нежить,Ущільнення в молочній залозі,Тремор рук,Тремтіння (тремор)
Апендицит,Біль у животі (переймоподібний),Дезорієнтація,,,
Аутизм,Проблеми з координацією,Оніміння кінцівок,,,
Астма,Лихоманка,Кров у калі,,,
Обсесивно-компульсивний розлад,Свистяче дихання,Висипання на шкірі (різні),,,
Хвороба Альцгеймера,М'язова слабкість,Занепокоєння,Зміни апетиту/ваги,Проблеми з координацією,Свистяче дихання
Коліт,Здуття кишківника,,,,
Пневмонія,Біль у м'язах,Задишка,Синдром Рейно,Ломота в тілі,Переїдання з наступним очищенням
Астма,Погіршення зору,Затримка мовленнєвого розвитку,Випадіння волосся,Лущення шкіри,
Булімія,Уповільненість рухів,Захриплість голосу,Виділення з вуха,Почервоніння (локалізоване),
Біполярний розлад,Холодні кінцівки,Погіршення нічного зору,Висипання на шкірі (бляшки),Втрата ваги,Зменшення зросту з часом
Епілепсія,Проблеми з ковтанням,,,,
Ішіас,Почервоніння обличчя,Пітливість,,,
Цистит,Сльозотеча,Біль при ковтанні,,,
Синдром дефіциту уваги та гіперактивності,Обмеження рухливості,Висипання на шкірі (різні),,,
Біполярний розлад,Потемніння в очах при різкому вставанні,Підвищена температура тіла (локальна),Судоми,Кашель,Сковання суглобів
Катаракта,"Біль у грудях (стискаючий, пекучий)",Біль при ковтанні,Флешбеки,Закладеність носа,
Астма,Біль у попереку,,,,
Гіпотонія,Уникнення травматичних спогадів,,,,
Базаліома,Відчуття важкості в животі,Біль у суглобах,Біль у м'язах (сильний),Раптова слабкість в обличчі/руці/нозі,
Жовчнокам'яна хвороба,Холодні кінцівки,Двоїння в очах,Біль у животі (розлитий),Проблеми з мовленням,Втрата апетиту
Депресія,Збільшення щитоподібної залози,Висипання на шкірі (бляшки),Шум у вухах,Слабкість,Оніміння кінцівок
Енцефаліт,Зміни нігтів,Лущення шкіри,Біль у м'язах (сильний),Блідість шкіри,Судоми
Жовчнокам'яна хвороба,Почервоніння (локалізоване),Набряк мигдалин,Райдужні кола навколо джерел світла,Сльозотеча,
Енцефаліт,Проблеми з концентрацією,Кашель,,,
Глаукома,Збільшення живота,Головний біль,Проблеми з концентрацією,Здуття кишківника,
Гіпертонія,"Біль у грудях (стискаючий, пекучий)",Висипання на шкірі (різні),Біль у суглобах (сильний),,
Енцефаліт,Біль у горлі (першіння),Слабкість,Головний біль (ранковий),,
Фіброміалгія,Погіршення нічного зору,,,,
Ішіас,Біль у горлі (першіння),Біль у спині,Втрата інтересу до діяльності,Білий наліт на мигдалинах,
Синдром дефіциту уваги та гіперактивності,Білий наліт на мигдалинах,Дезорієнтація,Тремтіння (тремор),,
Булімія,Судоми,,,,
Виразка шлунку,Потемніння в очах при різкому вставанні,Біль у м'язах,Сухість в очах,Набряк мигдалин,Біль у суглобах (сильний)
Глаукома,Втома,Пригнічений настрій,Уповільненість рухів,Холодні кінцівки,М'язова слабкість
Кропив'янка,Сльозотеча (гнійні виділення),,,,
Псоріаз,М'язова слабкість,Пригнічений настрій,Поступова втрата периферичного зору,,
Депресія,Флешбеки,Біль у м'язах (сильний),Збільшення лімфовузлів,Дратівливість,Холодні кінцівки
Жовчнокам'яна хвороба,Порушення пам'яті,Часте сечовипускання,,,
Гепатит,"Проблеми з сечовипусканням (часті, утруднені)",,,,
Пієлонефрит,Помутніння зору,Біль у суглобах (сильний),Втрата інтересу до діяльності,Блювота (ранкова),
Ревматоїдний артрит,Спотворення образу тіла,Оніміння кінцівок,Порушення пам'яті,,
Синусит,Набряклість,,,,
Нарколепсія,Висипання на шкірі (різні),Переїдання з наступним очищенням,,,
Гастроентерит,Набряклість,,,,
Ангіна,Втрата апетиту,,,,
Виразковий коліт,Спотворення образу тіла,Втома,Слабкість,Уповільненість рухів,Порушення координації рухів
Артрит,М'язова слабкість,Хрипи в легенях,Кровотеча з ясен,,
Ларингіт,Біль у суглобах (сильний),Нав'язливі думки,,,
Ларингіт,Діарея,,,,
Менінгіт,Набряк суглобів,,,,
Екзема,Вузлики на суглобах,Почервоніння шкіри над суглобом,Зміни нігтів,,
Бронхіт,Виділення з вуха,Висипання,Шум у вухах,,
Артрит,Раптові напади сну,Обмеження рухливості,Втрата ваги (без причини),,
Хвороба Крона,Спотворення образу тіла,Слабкість,Флешбеки,Червоні плями на шкірі,
Апендицит,Втрата апетиту,Проблеми з концентрацією,Сльозотеча,,
Аутизм,Серцебиття (прискорене),Підвищений апетит,Тенезми,Головний біль (ранковий),Раптова слабкість в обличчі/руці/нозі
Ревматоїдний артрит,Набряк мигдалин,Порушення зору,Проблеми з рівновагою,Сухість в очах,
Хвороба Крона,Чутливість до світла/звуку,,,,
Катаракта,Раптові напади сну,Головний біль,Ущільнення шкіри,,
Грип,Відчуття важкості в животі,Нежить,Слабкість,Втрата ваги (різка),Почервоніння шкіри над суглобом
Застуда,Ломота в тілі,Біль у животі (переймоподібний),Біль у горлі,Сковання суглобів,
Панкреатит,Тремтіння (тремор),Біль в очах,Захриплість голосу,Надмірна сонливість вдень,
Хвороба Альцгеймера,Імпульсивність,Запаморочення,Погіршення зору,,
Холецистит,Порушення зору (аура),Зміни нігтів,Біль у спині,Страх набрати вагу,Зміна форми соска
Розсіяний склероз,Запаморочення,,,,
Гепатит,Порушення сну (безсоння),Втрата інтересу до діяльності,Набряклість (локалізована),,
Біполярний розлад,Порушення зору (аура),Оніміння кінцівок,Нервозність,Двоїння в очах,
Рак легенів,Висипання на шкірі (бляшки),Нервозність (підвищена),"Біль у грудях (стискаючий, пекучий)",Слабкість у кінцівках (прогресуюча),Висипання на шкірі (різні)
Фарингит,Зменшення зросту з часом,Біль у горлі (першіння),Нервозність,Надмірна сонливість вдень,
Плоскоклітинний рак,Зменшення зросту з часом,Відрижка,Надмірна сонливість вдень,,
Аутизм,Висипання,Синдром Рейно,,,
Гепатит,Втрата ваги,,,,
Хвороба Крона,Порушення пам'яті,Захриплість голосу,,,
Панкреатит,Пітливість,Висипання,Порушення чутливості,,
Рак легенів,Охриплість голосу,Головний біль (ранковий),,,
Ангіна,Стереотипні рухи,Помутніння зору,Втрата інтересу до діяльності,,
Пневмонія,Обмеження рухливості,Свербіж шкіри,Надмірна сонливість вдень,Ригідність м'язів,Висипання на шкірі (бляшки)
Застуда,Втрата смаку/нюху,Задишка,,,
Нарколепсія,Оніміння кінцівок,,,,
Посттравматичний стресовий розлад,Підвищена температура тіла (локальна),Втрата ваги (різка),Маніакальні епізоди,Звуження поля зору,Слабкість у кінцівках (прогресуюча)
Енцефаліт,Лихоманка (сильна),Діарея,Сильний головний біль (пульсуючий),Чутливість до сонця,
Посттравматичний стресовий розлад,Надмірна сонливість вдень,Почервоніння обличчя,Дратівливість,Ущільнення шкіри,
Гепатит,Втрата смаку/нюху,Збільшення печінки/селезінки,Поколювання в кінцівках,Кровотеча,
Фарингит,Червоні плями на шкірі,Порушення сну (безсоння),,,
Карпальний тунельний синдром,Мутна сеча,Тремтіння (тремор),Дратівливість,Підвищений апетит,
Тривожність,Стомлюваність (сильна),,,,
Подагра,Дратівливість,Двоїння в очах,,,
Меланома,Білий наліт на мигдалинах,Нічна пітливість,Здуття кишківника,Проблеми з рівновагою,
Рак простати,Прискорене серцебиття,Чутливість до сонця,,,
Виразковий коліт,Лущення шкіри,,,,
Алергія,Збільшення лімфовузлів,Пітливість,Сухість у роті,Порушення пам'яті,
Екзема,Біль в очах (ріжучий),Чутливість до сонця,Біль у правому підребер'ї,Прискорене дихання,Кровотеча з ясен
Коліт,Поступова втрата периферичного зору,Порушення сну,,,
Рак шлунку,Нежить,Раптова слабкість в обличчі/руці/нозі,Затримка мовленнєвого розвитку,Підвищений апетит,
Нарколепсія,Маніакальні епізоди,Погіршення нічного зору,,,
Псоріаз,Проблеми з концентрацією,,,,
Остеопороз,Почуття провини/нікчемності,Спотворення образу тіла,Двоїння в очах,Потемніння в очах при різкому вставанні,Чхання
Пієлонефрит,Біль у правому боці,,,,
Посттравматичний стресовий розлад,Порушення координації рухів,Набряк суглобів,Блювота,Біль у грудях (що посилюється при диханні),
Кон'юнктивіт,Ущільнення шкіри,,,,
Лейкемія,Сильний головний біль (пульсуючий),Біль у лівій руці,Висипання на шкірі (бляшки),,
Меланома,Раптова слабкість в обличчі/руці/нозі,Біль у м'язах (локалізований),,,
Глаукома,"Проблеми з сечовипусканням (часті, утруднені)",Свистяче дихання,Підвищена температура тіла (локальна),,
Гіпертонія,Часте сечовипускання,,,,
Депресія,Втрата смаку/нюху,Сльозотеча,,,
Тривожність,Занепокоєння,Нічна пітливість,Повільне загоєння ран,Розмитість зображення,
Менінгіт,Синдром Рейно,,,,
Розсіяний склероз,Чхання,Поступова втрата периферичного зору,,,
Панкреатит,Лихоманка,Кровотеча з ясен,Стомлюваність (сильна),Судоми,
Рак молочної залози,Захриплість голосу,,,,
Фіброміалгія,Проблеми з мовленням,,,,
Рак молочної залози,Переїдання з наступним очищенням,Збільшення щитоподібної залози,Двоїння в очах,,
Плоскоклітинний рак,Нудота,Втрата смаку/нюху,Кров у сечі,,
Астма,Втрата апетиту,Біль у правому боці,,,
Мігрень,Поступова втрата периферичного зору,,,,
Рак шлунку,Підвищена температура тіла (локальна),Захриплість голосу,Втрата ваги (без причини),Дратівливість,
Виразковий коліт,Біль у суглобах,Проблеми з ковтанням,,,
Виразковий коліт,Біль в очах (ріжучий),Сльозотеча (гнійні виділення),М'язова слабкість,Порушення зору (аура),Маніакальні епізоди
Глаукома,Діарея,Пітливість,,,
Лімфома,Уповільненість рухів,,,,
Хвороба Альцгеймера,Втрата інтересу до діяльності,Здуття,Біль у горлі,Маніакальні епізоди,
Розсіяний склероз,Сльозотеча (гнійні виділення),Висипання,Біль у кістках,,
Рак легенів,Виділення з вуха,Перепади настрою,Чутливість до сонця,Компульсивні дії,
Виразковий коліт,Спотворення образу тіла,Тенезми,Носова кровотеча,Блідість шкіри,
Артрит,Втрата апетиту,Блювота,,,
Рак простати,Перепади настрою,Нав'язливі думки,Сутулість,Кашель з кров'ю,
Енцефаліт,Компульсивні дії,Втрата інтересу до діяльності,Переїдання з наступним очищенням,Біль у м'язах,
Екзема,Зміни апетиту/ваги,,,,
Отит,Біль у лівій руці,Прискорене серцебиття,Проблеми з мовленням,,
Грип,Набряк мигдалин,Ущільнення шкіри,Стискання в грудях,Збільшення живота,Нежить
Жовчнокам'яна хвороба,Пітливість,Дезорієнтація,Ригідність м'язів,Чутливість до сонця,
Мігрень,Порушення пам'яті,Синці на шкірі (без причини),Біль у животі (голодний біль),,
Рак молочної залози,Біль у кістках,Дратівливість,,,
Кропив'янка,Спотворення образу тіла,Здуття кишківника,Ущільнення в молочній залозі,,
Глаукома,Біль у вусі,,,,
Хвороба Паркінсона,Порушення координації рухів,Серцебиття (прискорене),Свистяче дихання,Переїдання з наступним очищенням,
Рак простати,Головний біль,Нудота,Біль у горлі,Висипання на шкірі (різні),
Шизофренія,Компульсивні дії,Затримка мовленнєвого розвитку,Кашель (з мокротою),Біль у животі (пекучий),Біль у горлі
Гастрит,Чхання,,,,
Хронічна втома,Проблеми з координацією,Нав'язливі думки,,,
Бронхіт,Спотворення образу тіла,Висипання на шкірі (різні),Біль у животі (розлитий),,
Лімфома,Спрага,Закладеність носа,Втрата інтересу до діяльності,Свербіж шкіри,Обмеження рухливості
Лейкемія,Сплутаність свідомості,Помутніння зору,Відрижка,Задишка,
Лімфома,Погіршення зору,Висипання,Тремтіння (тремор),,
Гастрит,Раптова слабкість в обличчі/руці/нозі,Порушення сну,,,
Синусит,Втрата інтересу до діяльності,Біль у горлі,Свербіж шкіри,Спотворення образу тіла,
Епілепсія,Розмитість зображення,Переїдання з наступним очищенням,Часте сечовипускання,Перепади настрою,
Ішіас,Слабкість,Чутливість до сонця,Порушення зору,Зміни особистості,
Фарингит,Почервоніння обличчя,Кашель (сухий),Біль в очах,Сутулість,Сльозотеча
Енцефаліт,Погіршення нічного зору,Ущільнення шкіри,Почервоніння шкіри над суглобом,,
Плоскоклітинний рак,Чхання,Поколювання в кінцівках,,,
Гіпертонія,Здуття,Почервоніння обличчя,Порушення пам'яті,,
Інфаркт міокарда,Підвищений апетит,,,,
Меланома,Проблеми з координацією,Ломота в тілі,Червоні плями на шкірі,Блювота (ранкова),
Синусит,Раптові напади сну,Чхання,,,
Ангіна,Часте сечовипускання,Біль у животі (голодний біль),,,
Мігрень,Судоми,Нежить,,,
Енцефаліт,Синці на шкірі (без причини),,,,
Невралгія трійчастого нерва,Порушення сну,Біль при ковтанні,Погіршення зору,,
Анемія,Прискорене серцебиття,Синці на шкірі (без причини),Порушення чутливості,,
Хвороба Крона,Біль у животі (переймоподібний),,,,
Катаракта,Проблеми з рівновагою,Блювота (ранкова),,,
Булімія,Кровотеча з ясен,Перепади настрою,Збільшення щитоподібної залози,Судоми,
Системний червоний вовчак,Часте болісне сечовипускання,Збільшення щитоподібної залози,Проблеми з концентрацією,Вузлики на суглобах,Захриплість голосу
Рак простати,Нервозність,Висипання на шкірі (різні),Часте болісне сечовипускання,Дезорієнтація,Вузлики на суглобах
Бронхіт,Шум у вухах,Свербіж шкіри,Чутливість до сонця,Втома,Раптові напади сну
Артрит,Біль у животі (переймоподібний),,,,
Рак молочної залози,Сплутаність свідомості,Проблеми з рівновагою,Стереотипні рухи,,
Синусит,Закладеність носа,Кровотеча,Страх набрати вагу,Головний біль,
Ревматоїдний артрит,Деформація суглобів,Тенезми,,,
Катаракта,Виділення з вуха,,,,
Шизофренія,Компульсивні дії,Проблеми з мовленням,Проблеми з концентрацією,Біль у животі (голодний біль),Задишка
Енцефаліт,Прискорене серцебиття,Чутливість до сонця,Набряк мигдалин,,
Жовчнокам'яна хвороба,Біль у горлі (сильний),Збільшення печінки/селезінки,,,
Інсульт,Погіршення зору (прогресуюче),Проблеми з рівновагою,Проблеми з концентрацією,Сухість в очах,
Гастроентерит,Імпульсивність,Захриплість голосу,Сльозотеча,Занепокоєння,Біль у правому боці
Остеопороз,Деформація суглобів,Біль у лівій руці,Проблеми з координацією,,
Булімія,Неуважність,Біль у животі (переймоподібний),Прискорене серцебиття,,
Панкреатит,Збільшення печінки/селезінки,Зменшення зросту з часом,Стереотипні рухи,Печія,Кров у калі
Рак легенів,Запаморочення,Стискання в грудях,Кровотеча з ясен,,
Системний червоний вовчак,Збільшення щитоподібної залози,,,,
Депресія,Обмеження рухів (локалізоване),Нежить,Біль у животі (переймоподібний),"Проблеми з сечовипусканням (часті, утруднені)",Лихоманка
Анорексія,Збільшення живота,Втрата апетиту,Проблеми з координацією,Чхання,Серцебиття (прискорене)
Псоріаз,Кровотеча з ясен,Кров у калі,,,
Фіброміалгія,Біль у грудях (що посилюється при диханні),Порушення координації рухів,Імпульсивність,Уповільненість рухів,
Рак шлунку,Висипання,Біль у суглобах (сильний),Білий наліт на мигдалинах,Втрата свідомості,
Бронхіт,Сльозотеча,Носова кровотеча,Проблеми з мовленням,Підвищена температура тіла (локальна),Чутливість до сонця
Псоріаз,Нав'язливі думки,Ломота в тілі,Погіршення зору,,
Сечокам'яна хвороба,Занепокоєння,,,,
Гепатит,Блідість шкіри,Раптова слабкість в обличчі/руці/нозі,,,
Нарколепсія,Біль у кістках,,,,
Аутизм,Біль у м'язах,Кровотеча,Проблеми з концентрацією,Тенезми,
Хвороба Альцгеймера,Сухість в очах,Втрата ваги (без причини),Задишка,Сильний головний біль (пульсуючий),
Лейкемія,Жовтяниця,Розмитість зображення,Вузлики на суглобах,Спрага,
Рак шлунку,Підвищена температура тіла (локальна),Зміни апетиту/ваги,Занепокоєння,Задишка,Сильний головний біль (пульсуючий)
Безсоння,Порушення сну,Тремор рук,Стискання в грудях,,
Екзема,Біль у животі (голодний біль),Сутулість,Втрата ваги,Помутніння зору,
Пієлонефрит,Серцебиття (прискорене),Здуття кишківника,Відрижка,Висипання,
Невралгія трійчастого нерва,Надмірна сонливість вдень,,,,
Гіпертонія,Здуття,Порушення зору (аура),Спрага,Висипання,Тремор рук
COVID-19,Біль у кістках,Раптова слабкість в обличчі/руці/нозі,Часте болісне сечовипускання,Вузлики на суглобах,
Катаракта,Тремтіння (тремор),Почервоніння шкіри над суглобом,Нічна пітливість,Тремор рук,Імпульсивність
Анорексія,Оніміння кінцівок,Стомлюваність (сильна),Здуття кишківника,Надмірна сонливість вдень,Біль у животі (переймоподібний)
Гепатит,Проблеми з концентрацією,,,,
Астма,"Проблеми з сечовипусканням (часті, утруднені)",Проблеми з концентрацією,Висипання,,
Ішіас,Дезорієнтація,Задишка,Біль у грудях,,
Анемія,Уникнення травматичних спогадів,Обмеження рухів (локалізоване),Виділення з соска,Раптова слабкість в обличчі/руці/нозі,Повільне загоєння ран
Остеопороз,Біль у попереку,Часте болісне сечовипускання,Зміна форми соска,Нудота,Ригідність м'язів
Алергія,Порушення зору,Чутливість до сонця,,,
Посттравматичний стресовий розлад,Збільшення живота,Проблеми з координацією,,,
Виразка шлунку,Втрата ваги (без причини),,,,
Гастроентерит,Зміна форми соска,,,,
Коліт,Райдужні кола навколо джерел світла,,,,
Рак простати,Порушення пам'яті,,,,
Розсіяний склероз,Біль у спині,Поколювання в кінцівках,Підвищений апетит,Проблеми з координацією,Кровотеча
Кон'юнктивіт,Поколювання в кінцівках,Біль у м'язах,Кашель (сухий),"Проблеми з сечовипусканням (часті, утруднені)",
Сечокам'яна хвороба,Спотворення образу тіла,Спрага,Сковання суглобів,Холодні кінцівки,
Інсульт,Проблеми з координацією,Погіршення нічного зору,М'язова слабкість,Біль у животі (переймоподібний),Проблеми з концентрацією
Обсесивно-компульсивний розлад,Тремтіння (тремор),Закладеність носа,,,
Астма,Задишка,Вузлики на суглобах,Втрата смаку/нюху,Зміни апетиту/ваги,
Бронхіт,Переїдання з наступним очищенням,Уникнення травматичних спогадів,Нудота,Стискання в грудях,
